symbol,date,alert_type
AAPL,2025-08-20,down_streak_5plus
PLTR,2025-08-20,down_streak_5plus
AMD,2025-08-20,down_streak_5plus
BX,2025-08-20,down_streak_5plus
KKR,2025-08-20,down_streak_5plus
INTC,2025-08-20,pct_drop_5plus
BN,2025-08-20,down_streak_5plus
BAM,2025-08-20,down_streak_5plus
DELL,2025-08-20,down_streak_5plus
TGT,2025-08-20,pct_drop_5plus
ALC,2025-08-20,below_3m_low
ALC,2025-08-20,pct_drop_5plus
TKO,2025-08-20,down_streak_5plus
QSR,2025-08-20,below_3m_low
SYM,2025-08-20,down_streak_5plus
LI,2025-08-20,below_3m_low
SHG,2025-08-20,down_streak_5plus
TROW,2025-08-20,down_streak_5plus
TPG,2025-08-20,down_streak_5plus
CG,2025-08-20,down_streak_5plus
CLS,2025-08-20,down_streak_5plus
ON,2025-08-20,down_streak_5plus
BNT,2025-08-20,down_streak_5plus
TRU,2025-08-20,down_streak_5plus
ZBRA,2025-08-20,down_streak_5plus
TECK,2025-08-20,below_3m_low
TECK,2025-08-20,down_streak_5plus
BWXT,2025-08-20,down_streak_5plus
FTAI,2025-08-20,down_streak_5plus
H,2025-08-20,down_streak_5plus
QXO,2025-08-20,pct_drop_5plus
BEN,2025-08-20,down_streak_5plus
JOBY,2025-08-20,down_streak_5plus
SUZ,2025-08-20,down_streak_5plus
JHX,2025-08-20,below_3m_low
JHX,2025-08-20,below_6m_low
JHX,2025-08-20,below_52w_low
JHX,2025-08-20,down_streak_5plus
JHX,2025-08-20,pct_drop_5plus
SF,2025-08-20,down_streak_5plus
